bill_subject,number_of_bills
Interstate banking,3
Interstate commerce,8
Interstate commissions,1
Interstate compacts,175
Interstate highway system,79
Interstate land sales,10
Intracoastal waterways,3
Inventions,7
Investment advisers,1
Investment guaranty insurance,4
Investment of public funds,2
Investment tax credit,221
Investments,10
Iron and steel industry,34
Iron and steel prices,1
Irrigation,34
Irrigation districts,20
Islam,3
Islands,3
Israel,1
Item veto,28
Japan,1
Japanese Americans,15
Jewelry trade,1
Jewish holocaust (1939-1945),7
Jews,39
Joint diseases,4
Joint ventures,1
Journalism,2
Judges,137
Judicial compensation,20
Judicial districts,66
Judicial ethics,1
Judicial officers,15
Judicial opinions,3
Judicial power,1
Judicial reform,3
Judicial review of administrative acts,21
Judicial tenure,52
Juries,51
Jurisdiction,22
Juvenile corrections,4
Juvenile delinquency,47
Kidnapping,41
Kidney diseases,8
Labeling,76
Labeling laws,38
Labor and employment,4638
Labor disputes,50
Labor injunctions,2
Labor law and legislation,35
Labor policy,3
Labor productivity,9
Labor statistics,10
Labor union membership,56
Labor union organization and administration,7
Labor union political activities,2
Labor unions,78
Laboratories,1
Laboratory animals,25
Lakes,90
Land reform,1
Land tenure,1
Land transfers,256
Land use,43
Landlord and tenant,10
Landscape protection,5
Language and languages,2
Larceny,2
Lasers,2
Law,2592
Law enforcement officers,332
Lawyers,10
Lawyers and Legal Services,1
Layoffs,7
Lead,3
Lead poisoning,6
Lease and rental services,3
Leases,23
Leather industry,5
Leave of absence,1
Legal Services Corporation,30
Legal aid,6
Legal assistance to the aged,18
Legal assistance to the poor,7
Legal education,3
Legal ethics,1
Legal fees,65
Legal services,44
Legal services insurance,2
Legislation,61
Legislative amendments,4
Legislative bodies,2
Legislative procedure,11
Legislative resolutions,3
Legislative statistics,1
Liability (Law),1
Liability for aircraft accidents,3
Liability for environmental damages,7
Liability for marine accidents,5
Liability for nuclear damages,23
Liability for oil pollution,18
Liability for toxic substances pollution damages,17
Liability for water pollution damages,2
Libel and slander,5
Librarians,1
Libraries,146
Licenses,45
Life insurance,16
Lighthouses and lightships,1
Lighting,1
Limitation of actions,1
Liquefied natural gas,12
Liver diseases,1
Livestock,63
Livestock industry,26
Loans,20
Lobbying,135
Local finance,27
Local officials and employees,2
Local taxation,1
Location of industries,1
Longshoremen,12
Lotteries,94
Low-income housing,34
Loyalty oaths,2
Lumber trade,25
Lunar flight,1
Lung diseases,18
M-X missile,5
Machine guns,1
Magnetic recorders and recording,3
Magnetohydrodynamics,2
Mailing lists,20
Malpractice,15
Management,5
Mandatory retirement,5
Manganese,1
Manned undersea research stations,1
Manpower policy,6
Manpower training programs,130
Manpower utilization,12
Margarine,9
Marijuana,29
"Marine and coastal resources, fisheries",146
Marine animals,1
Marine corps,1
Marine ecology,1
Marine engineering,1
Marine insurance,5
Marine mammal protection,103
Marine mammals,14
Marine mineral resources,8
Marine parks and reserves,11
Marine pollution,25
Marine resources conservation,40
Marine safety,28
Marine terminals,4
Marine transportation,363
Marines,1
Maritime law,15
Maritime operations,7
Marketing,2
Marketing of farm produce,35
Marriage,1
Martial law,4
Mass rapid transit,134
Materials,3
Materials policy,7
Maternal and infant welfare,30
Maternal health services,9
Meat,111
Meat inspection,27
Meat packing industry,20
Medicaid,224
Medicaid fraud,8
Medical associations,2
"Medical care, personnel, and facilities",7
Medical centers,9
Medical economics,6
Medical education,33
Medical ethics,3
Medical fees,1
Medical innovations,2
Medical laboratories,8
Medical law and legislation,1
Medical libraries,4
Medical malpractice insurance,5
Medical personnel,18
Medical policy,2
Medical records,16
Medical research,104
Medical screening,4
Medical statistics,1
Medical students,1
Medical supplies,23
Medicare,922
Medicated feeds,3
Meditation,2
Members of Congress,205
Members of Congress (House),113
Members of Congress (Senate),34
Memorial Day,5
Mental care facilities,12
Mental health,64
Mental health services,5
Mental illness,24
Mentally handicapped,21
Mentally handicapped children,5
Merchant marine,82
Merchant marine legislation,5
Merchant seamen,12
Merchant ships,8
Metal trade,1
Metallurgy,2
Metals,9
Meteorological research,3
Meteorological satellites,7
Meteorology,1
Methane,4
Methanol,4
Metric system,50
Metropolitan areas,7
Metropolitan politics and government,1
Migrant labor,13
Migratory bird conservation,13
Military agreements,1
Military aircraft,7
Military airlift,1
Military and naval supplies,7
Military assistance,1
Military bases,67
Military chaplains,2
Military command and control,7
Military construction operations,53
Military dependents,57
Military discharges,37
Military education,36
Military engineering,1
Military hospitals,9
Military housing,14
Military intervention,3
Military law,52
Military leave,4
"Military medals, decorations, etc.",27
Military medicine,95
Military occupation,6
Military pay,123
Military pensions,625
Military personnel,279
Military policy,12
Military posture,4
Military promotions,1
Military strategy,1
Military training,5
Military transportation,3
Milk,93
Mine safety,68
Mine wastes,3
Mineral industries,4
Mineral reserves,1
Mineral resources conservation,6
Mineralogical research,1
Miners,9
Mines and mineral resources,319
Minimum tax,3
Minimum wages,76
Mining claims,7
Mining leases,16
Mining royalties,1
Minorities,309
Minorities in mass media,9
Minority business enterprises,24
Minority education,4
Minority employment,1
Misconduct in office,10
Missing in action,24
Missionaries,1
Missouri River development,2
Mobile homes,25
Monetary policy,36
Money,375
Money supply,3
Monuments and memorials,706
Moratorium,1
Mortgage banks,2
Mortgage guaranty insurance,13
Mortgage interest rates,15
Mortgage loans,18
Mortgages,104
Most favored nation principle,16
Motion pictures,24
Motor buses,4
Motor carrier rates,1
Motor transportation,23
Motor vehicle pollution control,69
Motor vehicle registration,2
Motor vehicle safety,16
Motor vehicles,496
Motorcycles,1
Mountains,2
Multiunit collective bargaining,1
Municipal budgets,2
Municipal buildings,8
Municipal finance,52
Municipal home rule,5
Municipal officials and employees,12
Municipal politics and government,18
Municipal services,4
Municipal taxation,2
Museums,161
Music,14
Mutual funds,2
N/A,941
NATO countries,2
NATO military forces,4
NOW accounts,5
Names,24
Narcotic addiction,20
Narcotic addicts,12
Narcotic law and legislation,69
Narcotic traffic,91
Narcotics,53
Narcotics and crime,99
National Guard,139
National Sea Grant Program,9
National anthems,19
National defense,47
National emblems,87
National emergency strikes,2
National forests,149
National growth policy,9
National health insurance,34
National lakeshores,25
National monuments,1
National objectives,1
National parks,352
National policy,2
National recreation areas,42
National seashores,38
National self-determination,6
Native Americans,2247
Natural areas,6
Natural gas,247
Natural monuments,6
Naturalization,32
Nature conservation,9
Naval bases,6
Naval education,6
Naval history,1
Naval mine warfare,2
Naval personnel,9
Naval procurement,1
Naval strategy,1
Navigation,190
Navigational aids,3
Navy,12
Negotiable instruments,4
Negotiations,1
Neighborhood government,1
Nepotism,5
Nervous system diseases,15
New England,2
Newspaper publishing,2
Newspapers,24
Noise,62
Nondiscrimination provisions,2
Nontariff trade barriers,6
Nuclear energy,523
Nuclear energy research,2
Nuclear exports,12
Nuclear facilities,22
Nuclear fission,3
Nuclear fuels,4
Nuclear fusion,4
Nuclear industry,2
Nuclear power,8
Nuclear power plant accidents,9
Nuclear power plant sites,12
Nuclear power plants,44
Nuclear propulsion,1
Nuclear reactors,4
Nuclear research,2
Nuclear security measures,11
Nuclear ships,9
Nuclear submarines,2
Nuclear warfare,6
Nuclear warships,6
Nuclear weapons,39
Nurses,55
Nursing homes,51
Nutrition,21
Nutrition policy,20
Nutrition surveys,2
Nuts,16
Oaths,11
Occupational health and safety,318
Occupational retraining,3
Occupations,6
Ocean,8
Ocean floor,14
Ocean liners,1
Ocean mining,12
Ocean policy,11
Ocean thermal energy conversion,6
Oceanographic research,3
Oceanography,4
Oceans and oceanography,4
Office equipment and supplies,5
Officer personnel,31
Oil and gas leases,62
Oil and gas royalties,2
Oil pollution,42
Oil pollution control,8
Oil pollution of the sea,6
Oil shales,30
Old age assistance,20
Old age pensions,2
"Old age, survivors and disability insurance",1556
Older workers,43
Olympic games,96
Ombudsman,17
Open space lands,23
Opium,1
Optical instruments and optical trade,2
Optometry,4
Ordnance,2
Organic farming,2
Organized crime,1
Outdoor advertising,5
Outdoor recreation,14
Overtime,16
Ozone,2
Pacific States (U.S.),1
Packaging,3
Painting,1
Paints and varnishes,3
Pan American relations,3
Panama Canal,69
Papacy,2
Paper and paper products,14
Paramedical education,2
Paramedical personnel,3
Paratransit services,1
Pardons,8
Parent and child,4
Parent-school relationships,1
Parking facilities,19
Parks,520
Parliamentary government,2
Parole,22
Parties to actions,3
Partnerships,1
Passenger ships,10
Passports,40
Patent agreements,5
Patent law and legislation,7
Patent licenses,6
Patents,186
Patients' rights,9
Patriotism,15
Payment-in-kind program,21
Payments in lieu of taxes,36
Payroll deductions,1
Peace,51
Peace movements,1
Peace research,18
Peace treaties,6
Peat,2
Peer review organizations (Medicine),17
Pension funds,3
Performance based education,1
Performing arts,14
Periodicals,7
Personal income tax,25
Personnel management,1
Pest control,16
Pesticide pollution,2
Pesticide regulation,22
Pesticide residues in food,1
Pesticides,26
Pests,7
Pests and pesticides,2
Petrochemicals,19
Petroleum,561
Petroleum and petroleum products,2
Petroleum conservation,7
Petroleum in submerged lands,10
Petroleum industry,390
Petroleum law and legislation,14
Petroleum pipelines,49
Petroleum prices,64
Petroleum recycling,5
Petroleum refineries,4
Petroleum reserves,52
Petroleum storage,1
Pets,19
Pharmaceutical research,9
Pharmacists,11
Philately,145
Phonorecords,1
Photographic film,1
Photovoltaic power systems,11
Physical education and training,3
Physically handicapped,12
Physically handicapped children,1
Physicians,17
Pipelines,42
Plant protection,7
Plant quarantine,7
Plant shutdowns,34
Plastics,3
Platinum,2
Playgrounds,2
Plutonium,3
Poetry,6
Poisons,3
Police,10
Policy sciences,1
Political action committees,1
Political advertising,4
Political ethics,16
Political participation,3
Political parties,1
Political prisoners,6
Political refugees,1
Political representation,16
Political science,2
Pollution,29
Pollution control,71
Polybrominated biphenyls,2
Polygraphs,7
Poor,2
Population,6
Population growth,1
Population policy,16
Population research,2
Population statistics,22
Pornography,19
Port authorities,1
Portraits,1
Position classification,3
Post exchanges,12
Postal employees,83
Postal facilities,45
Postal law and legislation,12
Postal rates and revenues,142
Postal service,909
Potable water,52
Potatoes,6
Poultry,8
Poultry industry,14
Poultry inspection,4
Poverty,5
Power resources,310
Predator control,13
Pregnancy,5
Pregnant women,1
Preschool education,11
Prescription pricing,3
President and foreign policy,4
Presidential aides,11
Presidential appointments,12
Presidential candidates,3
Presidential compensation,4
Presidential elections,152
Presidential families,1
Presidential inaugurations,6
Presidential libraries,9
Presidential messages,4
Presidential powers,12
Presidential primaries,42
Presidential protection,19
Presidential records,9
Presidential residences,6
Presidential succession,22
Presidential term of office,41
Presidential transitions,1
Press,1
Pretrial intervention,3
Pretrial procedure,3
Preventive medicine,21
Price discrimination,1
Price fixing,7
Price policy,2
Price regulation,22
Prices,10
Primaries,8
Printing,247
Prison labor,6
Prisoners,41
Prisoners of war,146
Prisons,39
Prisons and prisoners,1
Private legislation,12497
Private police,3
Private schools,2
Probate law and practice,1
Probation,1
Produce trade,4
Product safety,14
Productivity in government,49
Products liability,35
Professional education,2
Professional ethics,3
Professional sports,39
Professions,6
Profit,1
Propane,3
Property,2
Property insurance,2
Property tax,10
Prosecution,23
Prospecting,1
Prostitution,1
Protection of animals,156
Protection of foreign officials,6
Protection of officials,14
Proteins,1
Psychiatric hospitals,2
Psychologists,2
Public administration,3
Public assistance programs,96
Public broadcasting,17
Public corruption,1
Public debt,145
Public demonstrations,5
Public health,251
Public health administration,20
Public health laws,3
Public health personnel,15
Public health research,10
Public housing,31
Public lands and natural resources,8181
Public meetings of administrative bodies,13
Public opinion,2
Public opinion polls,1
Public prosecutors,10
Public radio,2
Public records,62
Public schools,2
Public sector strikes,2
Public service employment,45
Public television,1
Public utilities,78
Public utility rates,19
Public utility regulation,23
Public works,437
Publishers and publishing,5
Punishment,2
Quality of products,2
Rabbits,7
Rabies,1
Racial discrimination,5
Radiation,8
Radiation safety,31
Radio,14
Radio broadcasting,69
Radio frequency allocation,1
Radio in politics,1
Radioactive pollution,3
Radioactive waste disposal in the ocean,5
Radioactive wastes,92
Railroad abandonments,21
Railroad employees,83
Railroad engineering,3
Railroad equipment,3
Railroad finance,26
Railroad freight operations,26
Railroad land grants,1
Railroad law,45
Railroad maintenance and repair,2
Railroad management,1
Railroad mergers,1
Railroad passenger traffic,55
Railroad rates,14
Railroad relocation,1
Railroad retirement plans,168
Railroad rolling stock,20
Railroad safety,29
Railroad terminals,8
Railroads,618
Railroads and state,20
Range management,10
Rape,42
Rape victim services,2
Raw materials,5
Reading,2
Real estate appraisal,2
Real estate business,14
Real estate investment,5
Real property,84
Real property tax,65
Recall of officials,4
Receiving stolen goods,1
Recidivists,8
Reclamation of land,77
Recognition (International law),24
Reconnaissance satellites,1
Record votes,3
Recreation,182
Recreation areas,126
Recreation centers,7
Recruiting and enlistment,21
Recycling of waste products,109
Reefs,1
Referendum,26
Reforestation,3
Refrigeration,1
Refugee policy,1
Refugees,96
Refuse and refuse disposal,42
Refuse as fuel,7
Regional economic development,13
Regional medical programs,3
Regional planning,9
Regulatory impact statements,2
Regulatory reform,3
Rehabilitation,7
Rehabilitation of criminals,10
Rehabilitation of the mentally handicapped,3
Rehabilitation of the physically handicapped,2
Reinsurance,1
Religion,154
Religion in communist countries,27
Religion in the public schools,96
Religious liberty,24
Relocation,23
Relocation of employees,2
Renegotiation,7
Rent,9
Rent control,4
Rent subsidies,2
Rental housing,6
Repatriation,2
Reporters and reporting,2
Reproduction,2
Reprogramming of appropriated funds,1
Rescue work,15
Research,4
Research and development,27
Research and development contracts,5
Research centers,7
Research grants,3
Reservoirs,38
Residential energy conservation,26
Residential rehabilitation,12
Respiratory diseases,7
Restaurants,2
Restricted stock options,11
Restrictive labor practices,2
Restrictive trade practices,81
Retail trade,20
Retired military personnel,23
Retirement,10
Retirement income,15
Revenue sharing,114
Reverse discrimination in employment,3
Revolving funds,1
Reye's syndrome,2
Rice,15
Right of asylum,5
Right of privacy,271
Right to counsel,8
Right to die,2
Right to travel,5
Right-of-way,7
Rights of institutionalized persons,6
Rights of women,5
Riot control,1
Riots,3
Risk,5
River basin commissions,4
River regulation,25
Rivers,191
Roads and highways,709
Robbery,9
Rubber,10
Rubber industry,1
Runaway children,17
Rural affairs legislation,169
Rural conditions,22
Rural economic development,46
Rural electrification,45
Rural housing,40
Rural manpower policy,1
Rural poverty,1
Rural public health,13
Rural schools,5
Sabotage,5
Safety measures,3
Salaries,46
Sales personnel,20
Sales promotion,4
Saline water conversion,6
Saline waters,1
Salmon fisheries,6
Salvage,1
Sanctions (International law),36
Satellite solar power stations,13
Saving and investment,3
Savings accounts,1
Savings and loan associations,33
Savings banks,10
Savings bonds,5
Scandinavian Americans,2
Scholarships,29
School administrators,4
School boards,5
School buses,1
School districts,4
School health programs,3
School lunch program,89
School security,12
School violence,1
School-age child care,1
Schools,17
Science and social problems,2
"Science, technology, communications",2670
Scientific education,14
Scientific exchanges,6
Scientific instruments and apparatus,2
Scientists,2
Scrap metals,2
Sculpture,1
Seafood,2
Sealing,4
Searches and seizures,42
Seashore ecology,13
Seashores,38
Seat belts,1
Secondary education,8
Secondary mortgage market,1
Secret service,15
Securities,262
Securities and Exchange Commission,2
Securities regulation,88
Security classification (Government documents),2
Segregation,6
Seizure of vessels and cargoes,2
Selective Service System,3
Self-incrimination,1
Senate,1219
Senate leadership,37
Senate rules and procedure,565
Senior centers,5
Sentences (Criminal procedure),68
Service academies,72
Service industries,13
Severance tax,4
Sewage disposal,14
Sewage sludge,3
Sewage treatment,3
Sewage treatment plants,6
Sex and law,2
Sex crimes,27
Sex discrimination,70
Sex discrimination against women,23
Sex discrimination in education,20
Sex discrimination in employment,1
Sex discrimination in insurance,2
Sexually transmitted diseases,1
Shale oils,2
Shellfish fisheries,8
Shipbuilding,15
Shipbuilding subsidies,13
Shipping agreements,3
Shipping rates,18
Ships,357
Ships and shipping,12
Shore protection,21
Sick leave,2
Sickle cell anemia,4
Signs and signboards,4
Signs and symbols,3
Silk manufacture and trade,1
Silver,10
Skin diseases,2
Slavery,1
Slavic Americans,1
Small business,1021
Small claims courts,1
Smoke detectors,17
Smoking,53
Smuggling,1
Snowmobiles,1
Social conditions,1
Social life and customs,16
Social problems,2
Social science research,2
Social sciences and history,86
Social security eligibility,1
Social security taxes,174
Social welfare,6984
Social work,3
Soft drink industry,3
Soil conservation,41
Soil erosion,15
Soil science,2
Solar energy,145
Solar energy industries,1
Solar heating and cooling,26
Soldiers' homes,2
Sonic boom,2
Sovereignty,5
Soybeans,12
Space,5
Space activities,24
Space communication,3
Space exploration,17
Space flight,1
Space policy,39
Space programs,2
Space propulsion,1
Space sciences,170
Space stations,1
Spanish Americans (U.S.),10
Special days,2200
Special months,809
Special prosecutors,14
Special weeks,2378
Special years,137
Speed limits,23
Speedy trial,15
Spices,3
Sports and recreation,826
Sports facilities,2
Stadiums,3
Standards,13
State courts,9
State employees,1
State government-Indian relations,4
State legislators,4
State legislatures,2
State officials and employees,2
State parks,5
State taxation,48
State-local relations,1
Statehood (American politics),1
States' rights,2
Statistics,101
Steel,11
Sterilization (Birth control),2
Stock exchanges,1
Storage,5
Storms,2
Strategic materials,127
Stream conservation,9
Streets,4
Strip mining,34
Student activities,2
Student aid,82
Student employment,11
Student loan funds,53
Student records,3
Student transportation,18
Students,8
Submarine oil well drilling,2
Submarines,10
Submerged lands,1
Subpoena,1
Subscription television,3
Subsidies,1
Subversive activities,8
Subways,2
Sudden infant death syndrome,3
Sugar and sugar trade,44
Sugar law and legislation,4
Sugar substitutes,55
Suggestion systems,1
Suicide,1
Summer employment,5
Sunset legislation,47
Supersonic aircraft,8
Supplemental appropriations,23
Supplemental security income program,264
Support of dependents,20
Supreme Court,21
Supreme Court decisions,3
Supreme Court jurisdiction,15
Supreme Court justices,7
Surety and fidelity,3
Surplus government property,99
Surveys,2
Survivors' benefits,89
Swimming pools,1
Swine,2
Synthetic fabrics,3
Synthetic fuel,35
Tankers,6
Tanks (Combat vehicles),2
Tariff,817
Tariff agreements,5
Tariff preferences,21
Tax administration,357
Tax auditing,10
Tax courts,16
Tax credits,1204
Tax deductions,1730
Tax deferral,7
Tax exclusion,1199
Tax exemption,215
Tax expenditures,10
Tax incentives,48
Tax rates,184
Tax rebates,11
Tax reform,51
Tax returns,98
Tax sales,1
Tax shelters,8
Tax treaties,1
Tax-deferred compensation plans,5
Tax-exempt organizations,259
Tax-exempt securities,85
Taxation,12909
Taxation of foreign income,24
Taxicabs,2
Tay-Sachs disease,4
Teacher education,9
Teachers,60
Teachers' tenure,1
Tear gas,2
Technical assistance,3
Technical education,4
Technological innovations,4
Technology assessment,2
Technology policy,6
Technology transfer,13
Teenage pregnancy,4
Telecommunication policy,127
Telegraph,5
Telephone,108
Telephone rates,13
Television,11
Television and children,3
Television broadcasting,79
Television in politics,3
Television industry,1
Television programs,8
Television stations,1
Temporary employment,2
Tender offers,5
Tennessee Valley Authority,1
Tennessee Valley development,22
Terminal care,2
Terms and phrases,5
Territorial arrangements (Antitrust law),8
Territorial waters,32
Territories (U.S.),437
Terrorism,208
Textile industry and fabrics,2
Thermal insulation,6
Time,210
Timesharing (Real estate),5
Tin,3
Tipping,1
Tire industry,6
Titanium,1
Tobacco,98
Tobacco industry,30
Tobacco tax,2
Toll roads,7
Tomatoes,8
Torts,6
Torture,2
Tourist trade,39
Toxic substances legislation,21
Toys,4
Trade adjustment assistance,49
Trade agreements,78
Trade associations,19
Trade fairs,4
Trade regulation,25
Trademarks,58
Traffic accidents and safety,13
Traffic regulations,6
Trails,114
Transfer of employees,1
Translating and interpreting,2
"Transplantation of organs, tissues, etc.",9
Transportation and public works,5292
Transportation and state,4
Transportation and the aged,2
Transportation and the physically handicapped,7
Transportation law and legislation,16
Transportation of hazardous substances,42
Transportation rates,12
Transportation research,1
Transportation safety,14
Transportation workers,2
Trapping,4
Travel,74
Travel agents,1
Travel costs,13
Treason,1
Treaties,117
Treatment and rehabilitation of alcoholics,8
Treatment and rehabilitation of narcotic addicts,1
Treaty-making power,4
Trees,1
Trials,1
Trucking,27
Trucks,11
Tuberculosis,2
Tugboats,3
Tuition tax credits,12
Tuna fisheries,2
Tunnels,2
Undercover operations,1
Underground movements,1
Unemployed,4
Unemployment,173
Unemployment insurance,524
Unfair labor practices,16
Union security,4
United Nations,57
United Nations delegations,14
United Nations economic assistance,3
United Nations finances,40
United Nations headquarters,3
United Nations membership,19
United Nations officials and employees,1
United Nations technical assistance,2
United States Postal Service,3
Uranium,18
Urban affairs,10
Urban affairs research,2
Urban areas,68
Urban beautification,5
Urban economic development,10
Urban education,6
Urban homesteading,3
Urban life,1
Urban planning,7
Urban renewal,16
Urban transportation,30
User charges,3
Vaccines,2
Vegetables and vegetable trade,4
Vending machines,1
Veterans Day,24
Veterans' benefits,231
Veterans' disability compensation,375
Veterans' education,467
Veterans' employment,83
Veterans' hospitals,164
Veterans' loans,74
Veterans' medical care,80
Veterans' organizations,25
Veterans' pensions,17
Veterans' rehabilitation,17
Veterinary medicine,35
Veto,2
Vice Presidential candidates,1
Vice Presidents,58
Victims of crimes,11
Video tape recording,5
Video telephone,1
Vietnam veterans,1
Vietnamese Conflict,187
Visas,1
Vision disorders,11
Vitamins,6
Vocational education,41
Vocational guidance,10
Vocational rehabilitation,61
Volcanoes,3
Volunteer forces,1
Volunteer workers,41
Volunteer workers in education,5
Volunteer workers in law enforcement,1
Volunteer workers in social service,2
Voter registration,33
Voting,57
Voting age,3
Wage controls,1
Wage-price policy,26
Wages,47
War,9
War and emergency legislation,1
War and emergency powers,28
War casualties,13
War crimes,7
War relief,3
War risk insurance,2
Warranties,2
Warships,21
Waste disposal in the ocean,18
Waste disposal sites,2
Waste products,10
Waste water treatment,8
Water allocation (Policy),8
Water and Water Resources Development,1
Water conservation,55
Water districts,5
Water fluoridation,3
Water law and legislation,1
Water pollution control,217
Water purification,17
Water quality,4
Water rates,2
Water resources development,2648
Water rights,6
Water storage,13
Water supply,94
Water supply engineering,4
Water treatment plants,16
Water use,1
Waterfronts,6
Watergate affair,46
Watershed management,15
Watersheds,32
Waterways,39
Weapons,23
Weather,41
Weather control,38
Weather forecasting,19
Weed control,1
Weeds,7
Weights and measures,4
Welfare fraud,6
Wetland conservation,10
Wetlands,16
Whaling,26
Wheat,55
Whistle blowing,4
"White House (Washington, D.C.)",6
White House conferences,12
Widows,1
Wife abuse,1
Wild rivers,152
Wilderness areas,870
Wildlife,43
Wildlife conservation,94
Wildlife management,13
Wildlife refuges,261
Wind power,8
Wine,20
Wiretapping,3
Withholding tax,218
Witnesses,19
Women,89
Women athletes,1
Women in business,3
Women scientists,3
Women soldiers,26
Women's education,11
Women's employment,12
Women's health,4
Women's organizations,1
Women's rights,1
Wood,4
Wool,11
Wool trade,1
Workers' compensation,42
World War I,13
World War II,3
World health,2
X-rays,4
Youth,95
Youth employment,58
Zero-base budgeting,30
Zinc,3
Zip code,2
Zoning and zoning law,2
Zoos,15
